                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.4351,                0.26475,                 0.8604,                0.91797,                0.89197,                0.95063,                0.61315,                0.90135,                 0.4182,                0.92267,               0.001288,               0.001288,               0.001288
                     90,                0.54509,                0.29606,                 0.8376,                0.91907,                0.87616,                0.94515,                0.60746,                0.90012,                0.42997,                0.92041,               0.001189,               0.001189,               0.001189
                     91,                0.53915,                0.29291,                0.83469,                0.92743,                0.90894,                0.94567,                0.60884,                 0.8916,                0.43134,                0.91972,                0.00109,                0.00109,                0.00109
                     92,                0.53643,                0.28829,                 0.8325,                0.93827,                0.90672,                0.95391,                0.60321,                0.89261,                 0.4192,                0.91971,               0.000991,               0.000991,               0.000991
                     93,                0.53706,                0.28726,                0.83604,                0.90563,                0.91798,                0.94578,                0.60243,                0.89979,                0.42713,                 0.9233,               0.000892,               0.000892,               0.000892
                     94,                0.52841,                0.28102,                  0.834,                0.93071,                0.91408,                0.95028,                0.60739,                0.89365,                0.43068,                0.91923,               0.000793,               0.000793,               0.000793
                     95,                0.52827,                 0.2799,                  0.832,                0.92569,                0.89044,                0.95052,                0.61426,                0.89218,                0.42363,                0.91978,               0.000694,               0.000694,               0.000694
                     96,                0.52456,                0.27831,                0.82899,                0.92136,                0.89559,                 0.9468,                0.61284,                0.88812,                0.42563,                0.91875,               0.000595,               0.000595,               0.000595
                     97,                0.52257,                0.27625,                0.82876,                0.92857,                0.89534,                 0.9501,                0.60829,                0.88447,                0.41984,                0.91857,               0.000496,               0.000496,               0.000496
                     98,                0.51997,                0.27421,                0.82779,                0.92179,                0.89171,                0.94934,                0.60745,                0.88601,                0.41639,                0.91794,               0.000397,               0.000397,               0.000397
                     99,                0.51291,                0.26985,                0.82919,                 0.9132,                0.90001,                0.94839,                0.60517,                0.88657,                0.41581,                0.91771,               0.000298,               0.000298,               0.000298
