                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.45497,                0.26986,                0.86049,                0.88714,                0.89775,                0.93463,                0.59224,                0.93545,                0.45058,                 0.9319,               0.003862,               0.003862,               0.003862
                     64,                 0.4453,                0.26727,                0.86176,                0.91501,                0.89452,                0.94465,                0.59356,                 0.9338,                0.44396,                0.92942,               0.003763,               0.003763,               0.003763
                     65,                0.45899,                 0.2751,                0.86416,                 0.9107,                0.88761,                0.93471,                 0.5871,                0.94745,                0.45838,                0.93262,               0.003664,               0.003664,               0.003664
                     66,                0.45152,                0.26566,                0.86208,                0.87866,                0.90659,                0.93054,                0.58027,                 0.9508,                0.46755,                0.93941,               0.003565,               0.003565,               0.003565
                     67,                0.44454,                0.26521,                0.85897,                0.90673,                0.91101,                0.94102,                0.60123,                0.93287,                0.45353,                0.92982,               0.003466,               0.003466,               0.003466
                     68,                0.44016,                0.26187,                0.85944,                0.90541,                0.91375,                0.93543,                 0.5941,                 0.9322,                0.46052,                0.93032,               0.003367,               0.003367,               0.003367
                     69,                0.43725,                0.25689,                0.85691,                0.91592,                0.89191,                 0.9341,                0.59659,                0.92471,                0.45013,                0.93339,               0.003268,               0.003268,               0.003268
                     70,                0.43688,                0.26076,                0.85913,                0.91197,                0.90174,                0.92625,                0.58962,                0.93225,                0.46659,                0.93011,               0.003169,               0.003169,               0.003169
                     71,                0.43915,                0.25792,                0.85557,                0.89589,                0.91373,                 0.9293,                0.60092,                0.94347,                0.45921,                0.93421,                0.00307,                0.00307,                0.00307
                     72,                 0.4296,                0.25675,                0.85574,                0.88282,                0.92704,                0.93228,                0.60217,                0.92667,                0.48696,                0.93093,               0.002971,               0.002971,               0.002971
                     73,                0.42319,                0.25102,                 0.8542,                0.92358,                0.92027,                0.95308,                0.60042,                0.94309,                0.46039,                0.93843,               0.002872,               0.002872,               0.002872
                     74,                0.43035,                0.25332,                0.85851,                0.90107,                 0.9175,                0.94182,                0.60057,                0.93547,                0.44895,                0.93411,               0.002773,               0.002773,               0.002773
                     75,                0.42259,                0.24919,                0.85393,                0.92091,                0.89636,                0.94198,                0.59722,                0.94033,                0.44962,                0.93083,               0.002674,               0.002674,               0.002674
                     76,                0.42537,                0.24784,                0.85573,                0.90301,                0.91535,                0.93555,                0.59686,                 0.9422,                0.45447,                0.93052,               0.002575,               0.002575,               0.002575
                     77,                0.41932,                0.24466,                0.85614,                0.89873,                0.91709,                0.93935,                0.60148,                0.93659,                 0.4366,                0.93414,               0.002476,               0.002476,               0.002476
                     78,                0.41956,                0.24576,                0.85434,                0.90292,                0.91521,                0.93936,                0.60107,                0.94133,                0.44857,                0.93855,               0.002377,               0.002377,               0.002377
                     79,                0.41909,                0.24666,                0.85298,                 0.9088,                0.89374,                0.93731,                0.60193,                0.91846,                0.43532,                0.93133,               0.002278,               0.002278,               0.002278
                     80,                0.41497,                0.24161,                0.85422,                0.91086,                0.89966,                0.93917,                0.60189,                0.92093,                0.43493,                0.93293,               0.002179,               0.002179,               0.002179
                     81,                0.41421,                0.23942,                0.85188,                0.86867,                0.91261,                0.92763,                0.59504,                0.92006,                0.45083,                0.93066,                0.00208,                0.00208,                0.00208
                     82,                0.40916,                 0.2379,                0.85412,                0.88015,                0.91011,                0.92359,                0.59785,                0.90841,                0.45099,                0.92338,               0.001981,               0.001981,               0.001981
                     83,                0.40131,                0.23468,                0.84939,                0.87785,                0.92943,                0.93495,                 0.5953,                0.92895,                0.44039,                0.93002,               0.001882,               0.001882,               0.001882
                     84,                0.40714,                0.23952,                0.85029,                0.89254,                0.93501,                0.94229,                0.60446,                0.93019,                 0.4347,                0.93056,               0.001783,               0.001783,               0.001783
                     85,                0.40016,                0.23329,                0.84909,                0.92671,                0.91006,                0.94436,                0.59686,                0.93609,                0.43564,                0.93508,               0.001684,               0.001684,               0.001684
                     86,                0.39775,                0.23199,                0.84861,                 0.9095,                0.93218,                0.94225,                0.60152,                0.92584,                0.42683,                 0.9297,               0.001585,               0.001585,               0.001585
                     87,                0.39783,                0.22945,                0.84729,                0.88737,                 0.9274,                0.93476,                0.59288,                 0.9238,                0.43352,                 0.9294,               0.001486,               0.001486,               0.001486
                     88,                0.39956,                0.22647,                0.84806,                0.87624,                0.92008,                 0.9226,                0.59301,                0.92028,                0.44891,                0.92812,               0.001387,               0.001387,               0.001387
                     89,                0.39159,                 0.2259,                0.84893,                0.90238,                0.91262,                 0.9346,                0.59611,                0.92464,                0.44181,                0.93141,               0.001288,               0.001288,               0.001288
                     90,                0.49093,                0.25648,                0.81654,                0.87517,                0.93457,                0.92828,                0.58751,                0.93384,                0.43911,                0.93745,               0.001189,               0.001189,               0.001189
                     91,                0.48065,                0.25272,                0.81638,                0.89045,                0.93377,                0.93119,                0.58803,                0.92829,                0.44172,                0.93016,                0.00109,                0.00109,                0.00109
                     92,                0.47828,                0.24968,                0.81669,                0.87777,                0.91805,                0.92624,                0.59033,                   0.93,                0.44885,                0.93368,               0.000991,               0.000991,               0.000991
                     93,                0.47403,                0.24598,                0.81723,                0.87732,                0.92681,                0.93567,                 0.5934,                0.92379,                0.44182,                0.93065,               0.000892,               0.000892,               0.000892
                     94,                0.47018,                 0.2427,                0.81653,                 0.8878,                0.93055,                0.93304,                0.59492,                0.93811,                0.43501,                 0.9329,               0.000793,               0.000793,               0.000793
